id,nota,clase,interfete,readme,diagrama,nrFisiere
872,6.75,483,147,0,0,226
873,4.59,413,21,0,1,426
874,4.53,342,208,0,0,204
875,9.8,252,265,1,0,68
876,2.82,402,95,1,0,491
877,6.68,344,53,0,1,10
878,1.37,13,127,0,1,605
879,5.06,278,300,1,0,475
880,1.11,148,239,1,1,313
881,2.21,384,142,1,0,491
882,5.47,419,185,0,1,512
883,6.89,249,124,1,1,161
884,3.65,108,238,0,1,120
885,9.73,375,45,1,1,547
886,2.97,354,197,1,0,20
887,2.12,92,119,1,1,526
888,9.19,22,2,0,0,632
889,8.27,487,257,1,1,391
890,5.5,183,48,0,1,60
891,5.63,54,283,0,0,356
892,8.65,330,62,1,0,597
893,5.55,35,94,1,0,191
894,3.88,384,140,1,0,266
895,3.82,340,201,0,0,95
896,8.95,394,205,0,0,326
897,7.54,43,65,1,1,144
898,7.62,211,206,1,0,234
899,8.4,216,79,0,1,699
900,5.47,24,87,0,0,562
901,9.82,52,273,1,1,65
902,9.88,104,127,0,1,476
903,4.69,35,211,1,0,627
904,5.62,423,100,0,1,130
905,8.88,107,214,1,0,528
906,9.89,126,234,0,0,144
907,9.32,183,22,0,1,666
908,5.75,458,66,1,0,355
909,1.28,4,65,1,0,567
910,3.17,137,5,1,1,149
911,4.45,184,168,0,0,188
912,3.57,483,129,0,0,148
913,3.2,361,87,1,1,22
914,4.89,287,223,1,1,528
915,6.86,56,216,1,1,153
916,7.69,27,153,0,0,597
917,6.74,454,200,0,1,651
918,1.81,243,91,0,0,517
919,8.4,243,271,0,1,573
920,1.17,20,256,1,0,61
921,2.5,149,12,1,0,327
922,2.56,256,174,1,0,48
923,2.63,65,9,0,1,568
924,4.63,136,144,0,0,572
925,8.21,467,219,0,0,685
926,3.67,475,202,1,1,611
927,1.84,280,47,0,1,696
928,4.47,75,46,1,0,527
929,1.92,377,7,1,0,689
930,9.75,405,177,0,1,564
931,6.15,155,144,1,1,195
932,2.88,434,186,0,1,11
933,6.01,497,154,1,1,292
934,2.07,18,18,0,1,629
935,4.21,420,236,0,0,172
936,3.13,226,32,1,0,629
937,6.4,460,121,1,0,374
938,4.15,403,32,0,0,567
939,1.94,363,145,1,1,620
940,9.84,331,295,1,0,627
941,2.41,270,163,0,1,329
942,5.92,130,34,0,0,223
943,2.2,157,130,1,0,697
944,2.03,59,290,0,0,293
945,1.36,50,251,0,0,520
946,4.25,51,36,0,1,304
947,1.34,327,48,1,1,77
948,6.17,440,11,1,0,9
949,8.13,365,142,1,1,682
950,2.61,273,186,1,1,219
951,5.38,240,71,1,1,339
952,4.58,134,158,0,0,568
953,2.75,467,29,0,1,322
954,3.42,419,256,0,1,20
955,6.93,154,71,0,0,212
956,8.62,310,6,0,0,504
957,6.98,394,269,0,1,85
958,1.46,464,171,1,0,432
959,4.62,218,58,0,1,217
960,8.77,185,123,1,1,43
961,2.85,288,253,0,1,428
962,8.71,354,232,1,0,446
963,8.45,434,266,1,1,557
964,8.07,427,231,1,0,400
965,9.66,107,189,0,1,251
966,6.47,94,203,0,1,483
967,9.75,298,264,1,0,556
968,5.12,164,296,1,1,161
969,9.55,184,210,0,0,442
970,4.98,278,122,0,0,441
971,3.36,313,190,0,0,438
972,8.86,226,3,1,1,432
973,1.27,206,176,1,0,131
974,1.94,56,97,1,0,299
975,4.3,64,220,0,0,70
976,2.5,390,23,0,1,123
977,1.97,361,198,1,1,329
978,1.04,367,186,1,1,158
979,3.03,58,125,1,0,74
980,9.97,228,249,1,1,320
981,1.39,165,71,1,0,568
982,8.95,154,222,1,1,35
983,4.8,46,35,1,0,169
984,4.06,443,145,1,0,398
985,3.23,459,23,1,0,523
986,8.91,382,214,0,1,536
987,5.3,198,15,1,0,588
988,2.26,489,98,0,0,73
989,4.87,163,220,0,1,432
990,4.18,258,202,0,1,661
991,1.1,33,63,1,1,433
992,9.13,299,238,0,0,457
993,1.21,154,254,0,0,682
994,7.75,495,225,0,1,279
995,9.49,87,220,1,1,562
996,1.57,492,173,1,1,319
997,4.36,349,72,0,1,61
998,3.59,160,124,0,0,187
999,2.9,433,4,0,1,503
1000,1.08,448,201,0,0,544
